country,consume,trust,val
MY,0.473,0.711,world_health_organization
MY,0.69,0.426,messaging_apps
MY,0.42,0.582,newspapers
MY,0.915,0.365,online_sources
MY,0.464,0.63,radio
MY,0.732,0.682,television
NG,0.603,0.487,government_health_authorities
NG,0.419,0.356,journalists
NG,0.442,0.533,local_health_workers
NG,0.248,0.178,ordinary_people_i_do_not_know_personally
NG,0.399,0.268,ordinary_people_i_know_personally
NG,0.181,0.141,politicians
NG,0.482,0.704,scientists
NG,0.601,0.715,world_health_organization
NG,0.568,0.418,messaging_apps
NG,0.424,0.512,newspapers
NG,0.785,0.413,online_sources
NG,0.577,0.593,radio
NG,0.721,0.641,television
PH,0.741,0.46,government_health_authorities
PH,0.509,0.253,journalists
PH,0.607,0.578,local_health_workers
PH,0.211,0.067,ordinary_people_i_do_not_know_personally
PH,0.416,0.166,ordinary_people_i_know_personally
PH,0.289,0.128,politicians
PH,0.509,0.751,scientists
PH,0.614,0.656,world_health_organization
PH,0.413,0.199,messaging_apps
PH,0.289,0.41,newspapers
PH,0.85,0.295,online_sources
PH,0.41,0.439,radio
PH,0.81,0.517,television
PK,0.55,0.49,government_health_authorities
PK,0.343,0.2,journalists
PK,0.333,0.434,local_health_workers
PK,0.193,0.122,ordinary_people_i_do_not_know_personally
PK,0.401,0.251,ordinary_people_i_know_personally
PK,0.233,0.116,politicians
PK,0.419,0.697,scientists
PK,0.432,0.668,world_health_organization
PK,0.356,0.223,messaging_apps
PK,0.333,0.402,newspapers
PK,0.718,0.296,online_sources
PK,0.116,0.332,radio
PK,0.732,0.45,television
PL,0.436,0.109,government_health_authorities
PL,0.597,0.062,journalists
PL,0.199,0.228,local_health_workers
PL,0.147,0.036,ordinary_people_i_do_not_know_personally
PL,0.383,0.113,ordinary_people_i_know_personally
PL,0.237,0.02,politicians
PL,0.614,0.476,scientists
PL,0.283,0.282,world_health_organization
PL,0.224,0.085,messaging_apps
PL,0.191,0.067,newspapers
PL,0.856,0.101,online_sources
PL,0.403,0.1,radio
PL,0.741,0.117,television
RO,0.564,0.326,government_health_authorities
RO,0.609,0.103,journalists
RO,0.316,0.446,local_health_workers
RO,0.119,0.13,ordinary_people_i_do_not_know_personally
RO,0.321,0.148,ordinary_people_i_know_personally
RO,0.214,0.034,politicians
RO,0.461,0.596,scientists
RO,0.274,0.419,world_health_organization
RO,0.157,0.109,messaging_apps
RO,0.159,0.122,newspapers
RO,0.735,0.13,online_sources
RO,0.354,0.207,radio
RO,0.851,0.221,television
TH,0.592,0.494,government_health_authorities
TH,0.614,0.207,journalists
TH,0.497,0.569,local_health_workers
TH,0.175,0.095,ordinary_people_i_do_not_know_personally
TH,0.304,0.16,ordinary_people_i_know_personally
TH,0.11,0.1,politicians
TH,0.356,0.594,scientists
TH,0.268,0.582,world_health_organization
TH,0.253,0.163,messaging_apps
TH,0.205,0.307,newspapers
TH,0.822,0.211,online_sources
TH,0.218,0.289,radio
TH,0.766,0.455,television
TR,0.5,0.409,government_health_authorities
TR,0.327,0.119,journalists
TR,0.379,0.453,local_health_workers
TR,0.163,0.074,ordinary_people_i_do_not_know_personally
TR,0.356,0.151,ordinary_people_i_know_personally
TR,0.329,0.107,politicians
TR,0.732,0.62,scientists
TR,0.339,0.404,world_health_organization
TR,0.235,0.143,messaging_apps
TR,0.275,0.164,newspapers
TR,0.804,0.168,online_sources
TR,0.156,0.174,radio
TR,0.838,0.256,television
US,0.586,0.301,government_health_authorities
US,0.528,0.103,journalists
US,0.488,0.575,local_health_workers
US,0.193,0.031,ordinary_people_i_do_not_know_personally
US,0.511,0.135,ordinary_people_i_know_personally
US,0.442,0.031,politicians
US,0.656,0.673,scientists
US,0.3,0.498,world_health_organization
US,0.208,0.068,messaging_apps
US,0.286,0.221,newspapers
US,0.864,0.11,online_sources
US,0.358,0.164,radio
US,0.751,0.197,television
VN,0.628,0.757,government_health_authorities
VN,0.37,0.314,journalists
VN,0.422,0.673,local_health_workers
VN,0.166,0.118,ordinary_people_i_do_not_know_personally
VN,0.41,0.207,ordinary_people_i_know_personally
VN,0.122,0.399,politicians
VN,0.379,0.777,scientists
VN,0.422,0.723,world_health_organization
VN,0.546,0.677,messaging_apps
VN,0.557,0.543,newspapers
VN,0.843,0.357,online_sources
VN,0.225,0.652,radio
VN,0.766,0.817,television
